Lessee Name,Car Mark,FMS Lessee Number,Contract,Contract Expiration,Primary Commodity,CSR,CSL,Commericial,Past Region,2026 Region,Jacketed,Lined,Lining Type,Car Age,Mark,Number,Mark2,Car Type Level 2,Min (no lining),Min w lining,Interior Lining,Rule 88B ,Safety Relief,Service Equipment ,Stub Sill,Tank Thickness,Tank Qualification,Portfolio,Car,Year,Cars & Year,Full/Partial Qual,Reason Shopped,Perform Tank Qual,Scheduled,Current Status,Adjusted Status,Plan Status,AITX Fleet Services of Canada Inc. (Sarnia),AITX Railcar Services LLC (N Kansas City),AITX Mini/Mobile Unit 93 (Mounds),AITX Mobile Headquarters (LaPorte),AITX Mobile Operations (Houston),AITX Railcar Services LLC (Brookhaven),AITX Railcar Services LLC (Bude),AITX Railcar Services LLC (Longview),AITX Railcar Services LLC (Tennille),AITX Repair-KCK MRU (Kansas City),"AITX Repair-Milton, PA MRU","AITX Repair-Sweetwater, TX MRU ",Apache Railway - Snowflake AZ (Snowflake),Blastech Corp (BRANTFORD),"CAD Railway Services (Lachine, Montreal)","CALTRAX, Inc. (Calgary)",CANDO Rail Services (Oakbank),Cathcart (Amarillo) (Amarillo),Cathcart (Elk Mills) (Elk Mills),Cathcart - Hinton (Hinton),Cathcart (Lynchburg) (Lynchburg),Cathcart - Kansas City (Kansas City),Cathcart - Maumee (Maumee),Cathcart Rail - Hastings (Hastings),Curry Rail Services - Hollidaysburg PA (Hollidaysburg),Curry Rail Services Hockley (Hockley),Curry Rail Services Shoshoni (Shoshoni),Eagle Railcar (Cairo),Eagle Railcar (Channelview) (Eastland),Eagle Railcar (DuBois),Eagle Railcar (Elkhart),Eagle Railcar (Fitzgerald),Eagle Railcar (Gordon),Eagle Railcar (Junction City),Eagle Railcar (Longview),Eagle Railcar-Georgetown/Orange (Georgetown),Eagle Railcar Services (Orange),Eagle Railcar Services (Roscoe),Eagle Railcar (Washington),Eagle Railcar (Wichita Falls),"Frit Car and Equipment, Inc. (Brewton)","Frit Car and Equipment, Inc. (Bridgeton)",Greenbrier Repair & Services (Cleburne),Greenbrier Repair & Services (Finley),Greenbrier Repair-Central (Marmaduke),"Greenbrier Rail Services (Omaha, NE)","H.C. Chandler and Son, Inc. (Plantersville)",Iron Horse Rail Services (Beaumont),KRS Katahdin Railcar Services  (Bangor),"Midwest Railcar Repair, Inc. (Brandon (Corson))","PSC Repair (Beaumont, TX)",Procor Limited (N. Van),Procor Limited (Joffre),Procor Limited (Sarnia),"Procor - Transmark (Lethbridge, AB)","Rescar (Savanna, IL)","TLC Rail Services/Inserv-Wright City (Wright City, OK)","TMC Engineering Services (Houston, TX)",TNT Repair Services (Longview),Transco (Texarkana),Transco Rail (Sayre),Transco Railway (Oelwein),"Transco Railway Products, Inc. (Miles City)","Transco-Sheldon, TX (Houston)","Transitech, Inc. (Fordyce)","Trinity Industries, Inc. (Ft. Worth)","Trinity Industries, Inc. (Saginaw)","Trinity Rail Services (Shell Rock, IA)","Trinity Rail - Sunray (Sunray, TX)","Red River Coatings (Nash, TX)",Rescar #380 (Deer Park),"Texana Midway Tank Cleaning (Texarkana, TX)",VLS RECOVERY SERVICES  - Hockley (hockley),Column1,
Acme-Hardesty co,SHQX006002,3531,020045 0001,2/28/2026,CASTOR OIL,Marilynn Easton,Cortney Zemanski,Jack Glowski,,,Jacketed,Unlined,,13,SHQX,006002,,General Service Tank,2025,2025,,2030,2025,2030,2030,2030,2030,On Lease,Active,2025,SHQX0060022025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,To Be Routed,2026,,,,,,,,,10/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/1/2025,
ADM Transportation Company,SHQX009709,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009709,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097092025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,7/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/1/2025,
ADM Transportation Company,SHQX009710,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009710,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097102025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/11/2025,,,,,,,,,,,,2/11/2025,
ADM Transportation Company,SHQX009711,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009711,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097112025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2025,,,,,,,,,,,,8/1/2025,
ADM Transportation Company,SHQX009712,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009712,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097122025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/3/2025,,,,,,,,,,,,3/3/2025,
ADM Transportation Company,SHQX009714,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009714,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097142025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,6/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/2025,
ADM Transportation Company,SHQX009715,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009715,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097152025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Arrived,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/2025,,,,,,,,,,,,6/1/2025,
ADM Transportation Company,SHQX009716,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009716,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097162025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2025,,,,,,,,,,,,4/1/2025,
ADM Transportation Company,SHQX009717,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009717,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097172025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/19/2025,,,,,,,,,,,,2/19/2025,
ADM Transportation Company,SHQX009718,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009718,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097182025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/9/2025,,,,,,,,,,,,3/9/2025,
ADM Transportation Company,SHQX009719,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009719,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097192025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/21/2025,,,,,,,,,,,,2/21/2025,
ADM Transportation Company,SHQX009720,0028,009042 0105,5/31/2029,"CORN OIL,REFINED",Cyndie Sansone,Katelyn Monteith,Matt Keck,,,Jacketed,Unlined,,9,SHQX,009720,,General Service Tank,2025,2025,,2025,2025,2025,2025,2025,2025,On Lease,Active,2025,SHQX0097202025,Full Qual,TANK QUALIFICATION,Yes,Planned Shopping,Complete,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/24/2025,,,,,,,,,,,,2/24/2025,
