"Action,Id,ShopName,ShopNameDisplay,ShopStatus,ShopType,SPLC,SCAC,Address1,Address2,City,State,Zip,IsAITXShop,CertifcationClass,CertificationDate,CertificateExpiration,Comment,CurrencyCode,DeliveryLines,DisplayOnCustomerMap,DisplayOnWebPortal,Email,EnvironmentalReview,Fax,LaborRate,Latitude,Longitude,LogoURL,Phone,SAP,Website,EnterDate,EnterUserId,LastEditDate,LastEditUserId,Last Verified,,,,"
",18,A C & S Inc.,A C & S Inc. (Nitro),Review,Repair,277616000,,P.O. Box 335,,Nitro,WV,25143,No,,,,,,,No,No,,No,(304) 755-5309,,38.415804,-81.82497,,(304) 755-9275,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",2034,Aaron Oil,Aaron Oil  (Moss Point),Review,Cleaning,,,5730 Elder Ferry Road,,Moss Point,MS,39563,No,,,,Delivering lines CN and CSXT ,,""CN, CSX"",Yes,No,jasonh@aaronoil.com,No,(251) 434-8499,,30.693257,-88.040342,,(251) 479-1616,0,www.aaronoil.com/services/railcar/,2016-06-06 13:47:30,49,2016-06-13 14:25:38,49,2025-03-03,,,,"
",951,""Abtrex Industries, Inc."",""Abtrex Industries, Inc. (Inkster)"",Active,Repair,,,28530 Reynolds,""(On-site @UTLX-Cleveland, TX)"",Inkster,MI,48141,No,,2012-09-11 00:00:00,,,,,No,No,BobParker@abtrex.com; Lorraineclark@abtrex.com,No,,,,,,(281) 592-8800,0,,2012-09-11 10:19:10,273,2012-09-11 10:20:40,273,2025-03-03,,,,"
",17,Acorn Industries Division (Ttx Co.),Acorn Industries Division (TTX Co.) (Jacksonville),Review,Repair,491200000,,1450 W. Church Street,,Jacksonville,FL,32204,No,,,,,,,No,No,,No,,,30.326221,-81.657929,,(904) 354-2530,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",922,Adm,ADM (),Review,Repair,,,,,,,nan,No,,,,,,,No,No,,No,,,,,,,0,,2011-05-25 15:05:27,49,2011-05-25 15:05:27,49,2025-03-03,,,,"
",2395,Adm - Archer Daniels Midland Rail Repair,ADM - Archer Daniels Midland Rail Repair (Chicago),Active,Repair: Mini Mobile,535170000,ADM,PO Box 92573,,Chicago,IL,60675,No,,,,Added from Insight,,,No,No,,No,,,,,,,1009113,,2023-01-12 00:00:00,1,2023-01-12 00:00:00,1,2025-03-03,,,,"
",2017,Adm Railcar Repair - Cedar Rapids,ADM Railcar Repair - Cedar Rapids (Cedar Rapids),Active,Repair: Mini Mobile,,,3150 12th Street SW,,Cedar Rapids,IA,52404,No,,,,,,,No,No,dean.petroff@adm.com,No,,,,,,(319) 365-4007,0,,2015-09-04 15:28:32,49,2018-06-01 14:29:37,3509,2025-03-03,,,,"
",2254,Aitx - Point Comfort Tx,AITX - Point Comfort TX (Point Comfort),Active,Repair,638117000,ARIF,201 Formosa Dr,,Point Comfort,TX,77978,Yes,,,,Added from Insight,,,No,No,,No,,,,,,,1005068,,2023-01-06 00:00:00,1,2023-11-15 06:40:46,5715,2025-03-03,,,,"
",318,Aitx Fleet Services Of Canada Inc.,AITX Fleet Services of Canada Inc. (Sarnia),Active,Repair,47600000,,1000 Degurse Drive,,Sarnia,ON,N7T 7,Yes,,,,Delivering line is the CN,,CN,Yes,Yes,jloxton@aitx.com; mrwilliams@aitx.com; sarnia@aitx.com,Yes,(519) 332-5660,,42.930113,-82.406464,http://www.americanrailcar.com/images/shoplogos/ari.png,(519) 332-3739,1005068,www.aitx.com,2007-04-01 00:00:00,1,2023-01-04 11:17:11,35,2025-03-03,,,,"
",2089,Aitx Mini/Mobile Unit 92 (Hudson),AITX Mini/Mobile Unit 92 (Hudson) (**),Active,Repair: Mini Mobile,,,,,,,nan,Yes,,,,,,,No,No,mward@aitx.com,No,,,,,,,1005068,,2018-10-30 08:26:52,3492,2020-07-24 09:24:09,3492,2025-03-03,,,,"
